Column 1,Qty,Price Per,Toral,URL
100mW 0Ω Thick Film Resistor -100ppm/℃~+600ppm/℃ 0402 Chip Resistor - Surface Mount RoHS,100,,0.45,https://www.lcsc.com/product-detail/C242160.html
100nF ±10% 50V Ceramic Capacitor X7R 0603,50,,1.14,https://www.lcsc.com/product-detail/C14663.html
10kΩ ±1% 100mW 0603 Thick Film Resistor,100,,0.38,https://www.lcsc.com/product-detail/C2906982.html
10uF ±20% 25V Ceramic Capacitor X5R 0603,20,,1.66,https://www.lcsc.com/product-detail/C96446.html
2kΩ ±1% 100mW 0603 Thick Film Resistor,100,,0.91,https://www.lcsc.com/product-detail/C22975.html
Connector Receptacle IPEX Male Pin 50Ω Surface Mount,5,,0.51,https://www.lcsc.com/product-detail/C88374.html
100mW 4.7kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,100,,0.57,https://www.lcsc.com/product-detail/C99782.html
4.7uF ±10% 16V Ceramic Capacitor X5R 0603,20,,0.67,https://www.lcsc.com/product-detail/C19666.html
5.1kΩ ±1% 100mW 0603 Thick Film Resistor,100,,0.27,https://www.lcsc.com/product-detail/C2907044.html
"3.3V Positive Fixed SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",5,,0.55,https://www.lcsc.com/product-detail/C23380830.html
Connector Header 2 position 2mm Pitch 2A Right Angle -25℃~+85℃,20,,0.79,https://www.lcsc.com/product-detail/C173752.html
Diode Independent 40V 1A Surface Mount SOD-123FL,50,,0.73,https://www.lcsc.com/product-detail/C2909920.html
LGA-14(2.5x3) IMUs (Inertial Measurement Units) RoHS,3,,13.09,https://www.lcsc.com/product-detail/C22461202.html
LCC-18(9.7x10.1) RF Receivers RoHS,3,,32.04,https://www.lcsc.com/product-detail/C4153167.html
3.75V~6V 1 Lithium Battery 500mA SOT-23-5 Battery Chargers RoHS,3,,2.96,https://www.lcsc.com/product-detail/C144308.html
30V 4A Surface Mount SOT-23,5,,0.5,https://www.lcsc.com/product-detail/C15127.html
"LGA-16(3x3) Linear, Compass (ICs) RoHS",3,,4.69,https://www.lcsc.com/product-detail/C2847467.html
Tactile Switch SPST 2mm 3.9mm x 2.93mm Surface Mount,10,,0.6,https://www.lcsc.com/product-detail/C455280.html
"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",5,,0.42,https://www.lcsc.com/product-detail/C2988369.html
Wio-S3 Wireless Module Hand Solder,3,,23.97,https://www.seeedstudio.com/Wio-S3-Wireless-Module-p-6832.html
PinSocket_1x07_P2.54mm_Vertical,1,3.15,3.15,https://www.aliexpress.com/item/1005006733621288.html?mp=1
Display,3,6.36,19.08,https://www.aliexpress.com/item/1005008848200231.html
Seeed Shipping,,,17.68,
LCSC Shipping,,,12.67,
